CONTEXTID,CONTEXTNAME,CONTEXTPARENTCONTEXTID,PATIENTID,ENTERPRISEID,FIRSTNAME,LASTNAME,MIDDLEINITIAL,NAMESUFFIX,SEX,DOB,ADDRESS,ADDRESS2,CITY,STATE,ZIP,PATIENTEMPLOYERID,PATIENTHOMEPHONE,WORKPHONE,MOBILEPHONE,CONTACTPREFERENCE,EMAIL,DONOTCALLYN,ETHNICITY,CDCETHNICITYCODE,RACE,CDCRACECODE,LANGUAGE,ISO6392CODE,MARITALSTATUS,DECEASEDDATE,PATIENTSTATUS,HOLDSTATEMENTREASON,NEWPATIENTID,REGISTRATIONDATE,PRIMARYPROVIDERID,PREFERREDLABID,SELFPAYRESTRICTIONYN,OCCUPATION,REFERRALSOURCE,REFERRALSOURCEOTHER,GUARANTORFIRSTNAME,GUARANTORLASTNAME,GUARANTORMIDDLEINITIAL,GUARANTORNAMESUFFIX,GUARANTORDOB,GUARANTORSSN,GUARANTORRELATIONSHIP,GUARANTORADDRESS,GUARANTORADDRESS2,GUARANTORCITY,GUARANTORSTATE,GUARANTORZIP,GUARANTOREMPLOYERID,GUARDIANFIRSTNAME,GUARDIANLASTNAME,GUARDIANMIDDLEINITIAL,GUARDIANNAMESUFFIX,EMERGENCYCONTACTNAME,EMERGENCYCONTACTRELATIONSHIP,EMERGENCYCONTACTPHONE,PATIENTSSN,REGISTRATIONDEPARTMENTID,CURRENTDEPARTMENTID,PROVIDERGROUPID,UNCONFIRMEDFAMILYSIZE,UNCONFINCOMEPERPAYPERIOD,UNCONFIRMEDPAYPERIOD,UNCONFIRMEDYEARLYINCOME,UNCONFIRMEDPOVERTYLEVEL,UNCONFIRMEDFAMILYSZEDECLYN,UNCONFIRMEDINCOMEDECLINEDYN,GUARANTORPHONE,AGRICULTURALWORKER,AGRICULTURALWORKERTYPES,HOMELESSSTATUS,HOMELESSSTATUSTYPES,SCHOOLBASEDHEALTHCENTERPNT,VETERANSTATUS,TESTPATIENTYN,PRIVACYNOTICEGIVENFLAG,PRIVACYNOTICEGIVENDATE,PRIVACYNOTICEGIVENDEPTID,PRIVACYNOTICEGIVENBY,PRIVNOTICENOTGIVENREASON,PRIVNOTICENOTGIVENNOTE,PATIENTSIGONFILEFLAG,PATIENTSIGEFFECTIVEDATE,PATIENTSIGEXPIRATIONDATE,INSUREDSIGONFILEFLAG,INSUREDSIGEFFECTIVEDATE,INSUREDSIGEXPIRATIONDATE,CONSENTTOCALLFLAG,CONSENTTOCALLEFFDATE,GENDERIDENTITY,SEXUALORIENTATION,CONSENTTOTEXTYN,PUBLICHOUSING,DEFAULTPRESCRIPTIONPROVID,LASTUPDATED,FAMILYID,SMSOPTINDATE,DEFAULTIMAGINGPROVIDERID,GUARANTOREMAIL,TRANSLATEDHOMEPHONEINDEX,TRANSLATEDWORKPHONEINDEX,TRANSLATEDMOBILEPHONEINDEX,DELETEDDATETIME,DELETEDBY,RESTRICTREPORTINGYN,Record_Created_Date,Record_Updated_Date
1001,HC_INSIGHT++,2001,22,12488,Michael,Tate,D,MD,F,00:00.0,7847 Matthew Heights Suite 343,Suite 269,Lake Johnnyview,ID,68407,1729698,001-280-586-5514x5430,001-506-446-8420x91915,+1-484-618-3452x814,Mail,peterwillis@example.com,Y,African American,HP,African American,HP,French,1,Divorced,,Active,,,12:33.6,1619,137,N,Software Developer,Other,n,,King,g,MD,00:00.0,,Friend,,,Youngview,,80307.0,852557,,Acevedo,,Jr.,Jacqueline White,Other,,83085511.0,2362,2501,1,,,,78320.0,,,Y,,,wrong,Y,Y,Y,Y,Y,,00:00.0,,,,,N,12/2/2000,,Y,00:00.0,7/4/2011,Y,,,,,,,00:00.0,,1/19/1971,,lindamiller@example.org,7.0,1.0,4.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,23,12486,Sarah,Walker,O,MD,F,00:00.0,41543 Bailey Lake Suite 096,Suite 394,Lauramouth,TN,35736,2154556,+1-849-781-7182x45799,-3447,(731)810-6838x6770,Mail,tara66@example.org,Y,Caucasian,HP,Caucasian,AS,French,1,Married,2/15/1984,Active,,,12:33.6,338,129,N,Writer,Other,n,Anthony,Parks,,,00:00.0,70218641.0,mother,,,New Deannafort,,,813694,Mallory,,j,,,institute,767-803-7769x814,,2368,2263,1,,4872.0,,90177.0,,Y,Y,(203)247-2716x72450,,,,Y,,N,N,Y,00:00.0,137.0,,,,Y,4/15/1976,,N,,10/20/1951,Y,00:00.0,,,,,,00:00.0,,3/13/1965,,francisvictor@example.net,2.0,4.0,9.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,25,12409,Samuel,Johnson,W,MD,M,00:00.0,766 Taylor Land Suite 166,Apt. 906,East Matthewborough,VT,5312,183998,+1-846-322-2677x5656,814.911.6537,001-572-289-6922,Mail,carrillobrian@example.org,N,African American,Other,Caucasian,AA,german,1,Single,9/30/1969,Inactive,,,12:33.6,661,107,N,Software Developer,INTERNET,n,Emily,House,e,,00:00.0,27936942.0,Friend,,Suite 684,Patrickfurt,MO,86415.0,5942,,,,MD,,Friend,6614400601,,2437,2506,1,9.0,,role,,,N,,,,,Y,Y,,Y,,N,00:00.0,154.0,,,,,7/26/1950,,,,6/5/1995,,00:00.0,,,Y,,,00:00.0,,3/27/2004,,,,7.0,5.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,26,12506,Joshua,Anderson,A,PhD,F,00:00.0,40417 Christopher Meadows Apt. 890,Suite 426,Port Derek,FL,28550,1821309,+1-496-436-4400x7814,293-733-3974,875-531-4162x681,Mail,wilkinsoncorey@example.com,N,Caucasian,Other,Other,Other,german,1,Single,,Inactive,,,12:33.6,572,102,N,Teacher,Other,n,,Martin,,Jr.,00:00.0,,Other,,,West Stephenmouth,,,774997,,Thomas,f,,,father,,83618337.0,2352,2497,1,,3736.0,yes,53127.0,,,,,Y,husband,,,Y,,,,,148.0,Ashley Stafford,computer,,Y,12/24/1965,7/8/1983,,,3/7/1972,Y,00:00.0,,,,N,,00:00.0,,5/12/2012,,,6.0,2.0,9.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,27,12494,Tina,Smith,p,DVM,M,00:00.0,316 Myers Views,Apt. 760,Port John,GA,60709,2035167,(793)439-0133,-4015,962.976.8113,Mail,campbellmatthew@example.org,Y,African American,HP,African American,AS,Hindi,1,Divorced,2/25/2002,Inactive,,,12:33.6,1330,142,N,Graphic Designer,advertisement,n,Lisa,,,DVM,00:00.0,,Other,,Suite 733,North Robinville,KS,,79177,Thomas,Dunn,,,,Other,697-492-8645x36893,,2525,2488,1,2.0,,southern,67266.0,,Y,,685-758-8279,N,quality,Y,Y,,Y,N,Y,00:00.0,,,feel,,N,,12/1/2006,,,9/24/2003,,00:00.0,,,,N,,00:00.0,,,,tcruz@example.com,7.0,3.0,2.0,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,31,12466,Jackie,James,w,Jr.,M,00:00.0,2424 Bailey Via,Apt. 450,Martinezberg,DC,76794,875529,001-636-782-0844,(334)892-8734x7100,+1-304-286-7136x5357,Phone,hgallegos@example.org,Y,Asian,Other,Other,CC,French,1,Divorced,5/17/2018,Active,,,12:33.6,1861,144,,Writer,INTERNET,n,Cynthia,Brown,,,00:00.0,,father,93996 Nicholas Cape,,,,,183125,James,Hurst,,MD,Stephanie Bailey,mother,,93861941.0,2290,2517,1,5.0,1271.0,form,,,,,,,story,,,,N,,,,164.0,,,,Y,,,Y,00:00.0,9/6/1958,,,,,,N,,00:00.0,,2/14/1962,,khamilton@example.net,5.0,,6.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,33,12373,Eric,Fuller,B,MD,F,00:00.0,64059 Ryan Square Apt. 644,Apt. 340,Port Jared,LA,29553,100107,001-925-256-2736,(514)229-3807x99419,6452252729,Mail,gclark@example.com,Y,Asian,AA,African American,AA,Hindi,1,Married,,Inactive,,,12:33.6,1441,113,Y,Marketing Manager,Friend,n,Rachel,,b,,00:00.0,,Friend,3743 Katherine Points Suite 162,,,,,326111,,,d,DVM,Felicia Marks,mother,,41363792.0,2295,2417,1,3.0,4081.0,enter,56592.0,,,N,581.535.7294x4803,N,fine,,Y,Y,Y,Y,N,00:00.0,,,,,,,,N,,12/11/1993,,00:00.0,,,N,N,,00:00.0,,2/4/1994,,,8.0,2.0,,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,34,12405,Allen,Maxwell,z,Jr.,F,00:00.0,8690 Lisa Stream,Suite 926,South Prestonberg,CO,68976,1352492,811.669.0249x1476,001-622-833-8654x28032,723.563.9462,Phone,pperez@example.org,Y,African American,CC,African American,AA,german,1,Single,,Inactive,,,12:33.6,1944,139,N,Nurse,advertisement,n,,Reyes,,,00:00.0,75171865.0,father,,Suite 433,,NV,,100902,Brittany,,B,,,mother,,98091018.0,2519,2340,1,9.0,3439.0,,48049.0,,,,+1-529-562-7724x672,,,N,Y,,,N,,,,Ryan Mckinney,,,,12/7/2013,,,,7/20/1952,,00:00.0,,,,N,,00:00.0,,,,,4.0,4.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,35,12459,Randall,Avila,A,III,F,00:00.0,8337 Bailey Junction Suite 062,Apt. 999,Port Austin,CA,76433,1951225,+1-400-744-1040x017,(785)555-5485x056,(704)411-3958,Mail,jessica48@example.net,N,African American,AA,Other,Other,English,1,Married,,Active,,,12:33.6,101,126,,Writer,Other,n,Benjamin,Dyer,L,Jr.,00:00.0,,institute,,,Oscarborough,MD,73268.0,1100434,Sean,,o,,John Knight,father,4609422058,,2452,2308,1,,2615.0,,93758.0,,N,,,N,prove,,,Y,,,,,160.0,,here,Purpose card face walk administration.,Y,,,Y,,11/26/1952,N,,,,,,,00:00.0,,,,lisayoung@example.org,,10.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,36,12408,Jenny,Vaughn,r,DDS,M,00:00.0,92710 Gonzales Plains Suite 100,Apt. 216,New Christina,ND,26826,2187293,285.268.1103x196,911.529.4208,988-541-3038x3476,Mail,alanmaxwell@example.net,N,Hispanic,AS,Caucasian,HP,german,1,Single,,Active,,,12:33.6,969,110,,Nurse,hospital staff,n,,Green,,MD,00:00.0,85324836.0,institute,0336 Ramirez Prairie Apt. 257,,,NM,,348703,,Cortez,,,Christopher Smith,Friend,490.844.4905x53526,29281384.0,2416,2313,1,2.0,2385.0,,59462.0,,Y,N,,Y,reality,,Y,Y,,N,Y,,,Sarah Bailey,,,Y,,9/28/1977,,00:00.0,9/26/1990,,,,,Y,N,,00:00.0,,,,,,8.0,,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,37,12545,Rebecca,Walker,l,MD,M,00:00.0,9320 Gregory Spring,Suite 259,Christopherbury,IL,8560,1041199,(859)871-2960x0879,+1-324-980-9187x8637,556.863.7814,Mail,katrina62@example.net,N,Other,CC,Hispanic,AA,English,1,Married,,Active,,,12:33.6,1696,139,Y,Marketing Manager,hospital staff,n,,Holloway,h,DDS,00:00.0,14963269.0,Friend,,,,,,639402,,,,,,institute,+1-998-352-2699x783,29464688.0,2475,2277,1,,,security,64432.0,,,,,,let,,,Y,Y,N,,,,Tara Johnson,,Skill allow Mrs study.,N,2/10/1967,3/15/2009,,00:00.0,5/4/1962,Y,,,,,,,00:00.0,,,,,10.0,,4.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,40,12442,Deborah,Smith,S,DDS,M,00:00.0,0645 Wilson Curve,Apt. 196,East Matthewview,CT,88337,1109213,(608)774-5970,+1-665-987-0380x182,665.406.2686x9627,Mail,stephanievasquez@example.com,N,African American,CC,African American,AS,german,1,Single,,Inactive,,,12:33.6,1696,138,Y,Mechanical Engineer,Friend,n,,Mcdowell,,,00:00.0,,institute,72557 Daniel Valley Suite 359,,West Malikmouth,,38419.0,820984,,Wilkinson,,Jr.,,institute,+1-429-470-7663x692,,2303,2253,1,3.0,3207.0,,54020.0,,,,,,,,,,,N,,00:00.0,,Dana Caldwell,,,Y,,,,00:00.0,5/13/1968,,00:00.0,,,,Y,,00:00.0,,12/27/1959,,,,3.0,9.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,43,12434,Jeffrey,Barnes,Z,MD,F,00:00.0,48574 Matthew Forges,Apt. 182,West Amyfort,ME,13855,1905956,(653)333-9866x566,001-240-359-4113x17501,381-726-5008,Mail,mflores@example.com,Y,Asian,HP,Caucasian,CC,german,1,Divorced,8/27/2007,Inactive,,,12:33.6,515,106,,Nurse,hospital staff,n,,,,MD,00:00.0,,Friend,,Apt. 189,Chadfurt,,74310.0,1150931,,,K,Jr.,,mother,,77866283.0,2464,2253,1,10.0,,however,88742.0,,N,Y,8925508076,,,,Y,Y,N,,,00:00.0,137.0,,,Rich hand first perhaps hair prove too office.,,8/3/1997,,Y,,3/20/2016,,,,,N,Y,,00:00.0,,2/18/1983,,,,4.0,9.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,44,12453,Danielle,Smith,P,MD,F,00:00.0,14818 Rebecca Flat Apt. 628,Apt. 605,Elizabethberg,SC,48124,816354,597-547-8049,+1-810-676-5473x0439,+1-582-975-7209x93480,Phone,ejohnson@example.org,Y,Other,HP,Asian,HP,French,1,Married,,Inactive,,,12:33.6,1177,102,Y,Marketing Manager,INTERNET,n,Christopher,Lutz,x,PhD,00:00.0,34476560.0,Friend,587 Paula Valley,Apt. 646,West David,,,445653,Melissa,,M,,,institute,959.380.0894,45144749.0,2389,2277,1,,,staff,,,,N,001-918-630-4618x8850,,,N,Y,,Y,,N,,147.0,,our,Relate dinner go thought score report.,N,,,N,,1/31/2018,,00:00.0,,,N,Y,,00:00.0,,6/26/2011,,buchananelizabeth@example.org,6.0,,4.0,,,,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,50,12482,Oscar,Hill,R,PhD,F,00:00.0,72117 Aguilar Falls,Suite 090,East Kyle,SD,48625,292671,001-836-241-6992x2804,001-839-593-8811x3495,329-336-4611x808,Phone,mmartin@example.org,N,Hispanic,AS,Caucasian,HP,English,1,Married,,Active,,,12:33.6,1656,118,,Writer,hospital staff,n,Rachael,,K,PhD,00:00.0,41696234.0,institute,819 Patrick Point,,Savageport,,,1146253,Paula,Nicholson,k,,Robin Baker,mother,610-810-7787,,2322,2407,1,8.0,2661.0,,,,Y,Y,,,across,Y,,,N,,Y,00:00.0,,,,,,,7/12/1963,,,2/5/2016,N,00:00.0,,,,Y,,00:00.0,,,,,6.0,9.0,9.0,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,53,12524,Whitney,Foley,M,DVM,F,00:00.0,2123 Jessica Bridge,Apt. 499,East Dianaport,CA,46651,1845132,870.242.2689,245-309-6971x519,001-382-487-5288x368,Mail,tylermorrow@example.org,Y,Hispanic,HP,Asian,AS,german,1,Divorced,,Inactive,,,12:33.6,145,125,Y,Mechanical Engineer,advertisement,n,,,,DVM,00:00.0,,Friend,421 Hinton Landing Suite 252,Apt. 640,New Karaton,,907.0,683473,,Harris,F,MD,,Friend,,11849017.0,2293,2484,1,1.0,4233.0,,54813.0,,N,N,,,science,N,,,,,N,00:00.0,,,choose,,,,10/11/2006,,00:00.0,6/6/2002,Y,,,,,,,00:00.0,,2/27/1998,,suttonmichele@example.org,,8.0,,,,Y,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,54,12407,Valerie,Gonzales,k,MD,M,00:00.0,830 Mason Gardens,Suite 206,Pattersonton,ME,79344,1333898,(274)350-0377,242-846-2686x10471,001-718-371-3755x59598,Email,smithmarcus@example.org,N,Other,AS,African American,HP,English,1,Divorced,6/15/1994,Inactive,,,12:33.6,1499,123,N,Software Developer,hospital staff,n,Candice,Reyes,,,00:00.0,51105581.0,Friend,,,,,94094.0,1147299,Christopher,Chung,,III,Amanda Allen,Friend,001-340-284-3622x914,57756186.0,2331,2510,1,,4354.0,,53182.0,,,,(552)230-0892,Y,,Y,,N,N,N,N,,,Cameron Coleman,beautiful,Player central manager dinner music remain.,N,,3/19/1961,N,00:00.0,8/30/1996,N,,,,N,N,,00:00.0,,,,,,6.0,6.0,,,N,00:00.0,00:00.0
1001,HC_INSIGHT++,2001,55,12473,Antonio,Wise,t,MD,M,00:00.0,77591 Wyatt Tunnel,Suite 682,South Bonnie,FL,23167,2032626,(233)902-8640,(347)471-3070,424-444-6784,Phone,kimberlydonaldson@example.com,N,Asian,AS,Other,CC,English,1,Divorced,2/27/1970,Inactive,,,12:33.6,134,119,N,Nurse,advertisement,n,,,,PhD,00:00.0,67914605.0,father,,,,,21071.0,752290,Whitney,Adams,,DVM,Mark Hernandez PhD,Friend,,97962596.0,2300,2339,1,,,,73579.0,,Y,N,,,,Y,,N,N,,,00:00.0,,,,,,,8/6/1995,N,00:00.0,12/9/1960,,,,,Y,Y,,00:00.0,,,,alexander32@example.org,,8.0,,,,Y,00:00.0,00:00.0
